Date,Open,High,Low,Close,Adj Close,Volume
1/4/2021,12950.21973,12950.21973,12537.41992,12694.66016,12694.66016,6636170000
1/5/2021,12663.12988,12809.66992,12663.12988,12802.37988,12802.37988,6971860000
1/6/2021,12601.25977,12803.29004,12569.41992,12623.34961,12623.34961,7689880000
1/7/2021,12745.41016,12966.67969,12744.82031,12939.57031,12939.57031,6841480000
1/8/2021,13037.24023,13113.08984,12939.73047,13105.2002,13105.2002,7289390000
1/11/2021,12961.5,13023.20996,12883.58984,12902.49023,12902.49023,6960470000
1/12/2021,12916.09961,12957.42969,12783.70996,12892.08984,12892.08984,7264070000
1/13/2021,12911.87012,13008.84961,12878.01953,12973.62988,12973.62988,7104810000
1/14/2021,13010.94043,13037.04981,12886.16016,12898.69043,12898.69043,6734100000
1/15/2021,12898.08984,12941.29004,12758.09961,12803.92969,12803.92969,6458360000
1/19/2021,12921.61035,13012.08984,12861.29981,12996.54004,12996.54004,6297860000
1/20/2021,13155.12012,13332.25977,13138.29981,13296.4502,13296.4502,6820990000
1/21/2021,13356.7002,13433.69043,13297.79004,13404.99023,13404.99023,7258640000
1/22/2021,13356.17969,13404.76953,13336.90039,13366.40039,13366.40039,5972750000
1/25/2021,13515.62988,13563.7002,13205.58984,13483.29004,13483.29004,7193710000
1/26/2021,13507.46973,13536.29981,13440.32031,13490.19043,13490.19043,6849600000
1/27/2021,13371.16016,13393.50977,13034.13965,13112.65039,13112.65039,11621190000
1/28/2021,13163.32031,13401.84961,13150.09961,13201.53027,13201.53027,9959270000
1/29/2021,13124.7002,13167.87012,12845.42969,12925.37988,12925.37988,7872250000
2/1/2021,13067.65039,13280.21973,12983.09961,13248.90039,13248.90039,7092520000
2/2/2021,13371.37012,13501.23047,13363.75977,13456.12012,13456.12012,7325270000
2/3/2021,13555.03027,13561.4502,13400.08008,13402.37012,13402.37012,7546940000
2/4/2021,13454.84961,13563.12988,13406.44043,13560.88965,13560.88965,7295370000
2/5/2021,13592.76953,13642.95996,13527.80957,13603.95996,13603.95996,6792910000
2/8/2021,13672.33008,13698.41016,13607.95996,13695.01953,13695.01953,8564530000
2/9/2021,13667.13965,13741.79004,13664.7002,13687.08008,13687.08008,8766770000
2/10/2021,13751.41992,13770.91016,13531.92969,13655.26953,13655.26953,10785930000
2/11/2021,13723.62988,13747.2002,13637.19043,13734.34961,13734.34961,10916780000
2/12/2021,13695.90039,13816.25,13656.78027,13807.7002,13807.7002,7416940000
2/16/2021,13841.03027,13879.76953,13726.78027,13773.76953,13773.76953,7722100000
2/17/2021,13636.15039,13713.13965,13552.66016,13699.70996,13699.70996,7280500000
2/18/2021,13556.00977,13669.94043,13477.16992,13637.50977,13637.50977,6499420000
2/19/2021,13686.23047,13701.69043,13545.4502,13580.78027,13580.78027,6737820000
2/22/2021,13414.04004,13447.37012,13220.76953,13223.74023,13223.74023,6483740000
2/23/2021,12982.36035,13259.84961,12758.12012,13194.70996,13194.70996,7516510000
2/24/2021,13095.86035,13312.42969,12971.82031,13302.19043,13302.19043,5886230000
2/25/2021,13197.75,13294.55957,12773.75977,12828.30957,12828.30957,6390380000
2/26/2021,12958.95996,13090.36035,12764.33984,12909.44043,12909.44043,5906110000
3/1/2021,13106.01953,13293.78027,13051.7002,13282.9502,13282.9502,5079530000
3/2/2021,13297.75977,13301.62012,13052.12012,13059.9502,13059.9502,4948140000
3/3/2021,13020.09961,13057.29004,12679.88965,12683.33008,12683.33008,5529980000
3/4/2021,12655.91992,12799.08008,12314.16016,12464,12464,7864380000
3/5/2021,12594.16016,12700.95996,12208.38965,12668.50977,12668.50977,7725200000
3/8/2021,12629.55957,12718.58008,12287.57031,12299.08008,12299.08008,6010230000
3/9/2021,12635.4502,12868.51953,12592.83008,12794.49023,12794.49023,6345560000
3/10/2021,12950.25,12979.37988,12726.84961,12752.07031,12752.07031,6023880000
3/11/2021,12960.53027,13117.86035,12920.00977,13052.90039,13052.90039,6008850000
3/12/2021,12873.38965,12943.58008,12778.12988,12937.29004,12937.29004,5497210000
3/15/2021,12936.12988,13085.00977,12885.63965,13082.54004,13082.54004,5972370000
3/16/2021,13156.65039,13297.48047,13091.78027,13152.28027,13152.28027,5493890000
3/17/2021,13024.83008,13280.29004,12950.08008,13202.37988,13202.37988,5536110000
3/18/2021,13006.29004,13040.36035,12781.53027,12789.13965,12789.13965,5739720000
3/19/2021,12792.66992,12906.01953,12704.07031,12866.99023,12866.99023,7630590000
3/22/2021,12943.13965,13167.45996,12943.13965,13086.50977,13086.50977,5321760000
3/23/2021,13127.16992,13180.66016,12993.5,13017.79004,13017.79004,5675010000
3/24/2021,13072.82031,13077.49023,12797.84961,12798.87988,12798.87988,6248650000
3/25/2021,12707.58008,12845.66016,12627.92969,12780.50977,12780.50977,5634290000
3/26/2021,12777.26953,12992.29981,12721.66016,12979.12012,12979.12012,5224360000
3/29/2021,12950.50977,13013.46973,12836.59961,12965.74023,12965.74023,4965090000
3/30/2021,12904.00977,12929.45996,12798.03027,12896.53027,12896.53027,4721950000
3/31/2021,12970.33008,13167.05957,12966.65039,13091.44043,13091.44043,5004720000
4/1/2021,13268.87988,13333.41016,13255.82031,13329.51953,13329.51953,4576480000
4/5/2021,13434.04004,13623.59961,13420.80957,13598.16016,13598.16016,4459000000
4/6/2021,13567.2002,13660.29004,13551.59961,13578.45996,13578.45996,4073710000
4/7/2021,13553.90039,13648.79981,13532.62988,13616.7002,13616.7002,4098740000
4/8/2021,13730.73047,13763.17969,13703.50977,13758.50977,13758.50977,4153600000
4/9/2021,13709.66992,13849.30957,13674.91992,13845.05957,13845.05957,3926110000
4/12/2021,13792.74023,13839.38965,13747.62988,13819.34961,13819.34961,4250900000
4/13/2021,13874.58008,14002.53027,13874.58008,13986.49023,13986.49023,4219360000
4/14/2021,13988.86035,13990.54004,13782.17969,13803.91016,13803.91016,4120770000
4/15/2021,13934.87012,14040.11035,13931.00977,14026.19043,14026.19043,4406880000
4/16/2021,14035.95996,14050.37988,13966.54004,14041.91016,14041.91016,4427780000
4/19/2021,13970.83008,14025.63965,13835.75,13907.66992,13907.66992,4379610000
4/20/2021,13891.95996,13934.88965,13730.58984,13809.29981,13809.29981,4245120000
4/21/2021,13768.91992,13939.7002,13717.44043,13935.15039,13935.15039,3999620000
4/22/2021,13920.87988,13954.03027,13716.75977,13762.36035,13762.36035,4420820000
4/23/2021,13794.49023,13989.42969,13789.4502,13941.44043,13941.44043,4355100000
4/26/2021,13954.94043,14039.40039,13919.92969,14026.16016,14026.16016,4506210000
4/27/2021,14048.12988,14048.33984,13931.17969,13960.28027,13960.28027,4691460000
4/28/2021,13953.61035,13992.08008,13895.15039,13901.62012,13901.62012,4559710000
4/29/2021,14063.94043,14073.48047,13836.09961,13970.2002,13970.2002,4928030000
4/30/2021,13857.79004,13969.20996,13838.82031,13860.75977,13860.75977,4792460000
5/3/2021,13923.04004,13955,13784.66016,13799.71973,13799.71973,4761430000
5/4/2021,13680.62988,13705.37988,13396.11035,13544.66992,13544.66992,5879730000
5/5/2021,13649.12012,13676.86035,13478.58008,13503.37012,13503.37012,4535690000
5/6/2021,13490.94043,13617.33984,13403.45996,13613.73047,13613.73047,5021400000
5/7/2021,13715.55957,13814.65039,13669.78027,13719.62988,13719.62988,4391100000
5/10/2021,13647.73047,13648.49023,13358.62012,13359.08008,13359.08008,4818670000
5/11/2021,13102.63965,13381.66016,13094.75977,13351.26953,13351.26953,4738390000
5/12/2021,13155.07031,13236.88965,12967.17969,13001.62988,13001.62988,4752930000
5/13/2021,13133.73047,13226.63965,13006.76953,13109.15039,13109.15039,4698110000
5/14/2021,13238.99023,13430,13220.19043,13393.12012,13393.12012,4022610000
5/17/2021,13329.86035,13350.13965,13196.57031,13312.91016,13312.91016,3997780000
5/18/2021,13352.25977,13400.51953,13212.84961,13217.67969,13217.67969,4301300000
5/19/2021,12998.53027,13243.98047,12994.34961,13237.91016,13237.91016,4333520000
5/20/2021,13294.58984,13526.00977,13293.09961,13494.08984,13494.08984,3990760000
5/21/2021,13573.21973,13573.83984,13401.53027,13411.74023,13411.74023,3733940000
5/24/2021,13504.38965,13687.61035,13500.12012,13641.75,13641.75,3509470000
5/25/2021,13701.29981,13734.41016,13614.54004,13657.73047,13657.73047,4128990000
5/26/2021,13687.70996,13726.05957,13661.05957,13702.74023,13702.74023,4264500000
5/27/2021,13686.86035,13724.75977,13652.12988,13657.84961,13657.84961,5087180000
5/28/2021,13717,13765.79981,13684.83008,13686.50977,13686.50977,4447940000
6/1/2021,13764.26953,13773.4502,13602.12012,13654.58984,13654.58984,4186280000
6/2/2021,13655.70996,13712.67969,13610.16016,13675.79004,13675.79004,5097630000
6/3/2021,13568.91016,13608.54004,13469.84961,13529.67969,13529.67969,5396250000
6/4/2021,13619.79004,13784.76953,13613.58008,13770.76953,13770.76953,4360710000
6/7/2021,13744.15039,13808.41992,13710.11035,13802.88965,13802.88965,4639210000
6/8/2021,13873.45996,13913.40039,13746.41992,13810.86035,13810.86035,5958410000
6/9/2021,13865.50977,13900.70996,13811.04981,13814.94043,13814.94043,5640490000
6/10/2021,13834.25977,13962.98047,13817.83008,13960.34961,13960.34961,4919880000
6/11/2021,13959.46973,13998.65039,13934,13998.29981,13998.29981,4157580000
6/14/2021,14002.13965,14129.33008,13963.94043,14128.2002,14128.2002,4415160000
6/15/2021,14120.80957,14126.25977,14008.92969,14030.41016,14030.41016,4554580000
6/16/2021,14053.12012,14100.11035,13843.59961,13983.00977,13983.00977,4683030000
6/17/2021,13946.7002,14205.42969,13946.51953,14163.80957,14163.80957,4558280000
6/18/2021,14125.12012,14140.62012,14024.59961,14049.58008,14049.58008,6126070000
6/21/2021,14055.04004,14150.91016,13967.88965,14137.23047,14137.23047,4562010000
6/22/2021,14140.29981,14288.49023,14128.00977,14270.41992,14270.41992,4433140000
6/23/2021,14275.08984,14324.74023,14247.58008,14274.24023,14274.24023,4417470000
6/24/2021,14358.29981,14429.13965,14337.65039,14365.95996,14365.95996,4324620000
6/25/2021,14396.62988,14401.70996,14324.25977,14345.17969,14345.17969,7468090000
6/28/2021,14401.62988,14530.07031,14400.58984,14524.98047,14524.98047,4283000000
6/29/2021,14523.62988,14575.19043,14481.84961,14572.75,14572.75,4901300000
6/30/2021,14560.07031,14582.29981,14530.87012,14554.79981,14554.79981,5293810000
7/1/2021,14530.62988,14576.63965,14483.41992,14560.04981,14560.04981,4410470000
7/2/2021,14633.50977,14738.13965,14626.82031,14727.62988,14727.62988,3751420000
7/6/2021,14755.15039,14797.4502,14635.30957,14786.36035,14786.36035,4489540000
7/7/2021,14889.75977,14891.19043,14735.75,14810.54004,14810.54004,4605630000
7/8/2021,14577.66992,14763.66992,14551.75977,14722.13965,14722.13965,4575010000
7/9/2021,14709.32031,14838.71973,14685.54004,14826.08984,14826.08984,3826500000
7/12/2021,14878.70996,14899.45996,14813.79004,14877.88965,14877.88965,3897090000
7/13/2021,14871.04004,15002.28027,14843.79981,14874.54004,14874.54004,4583460000
7/14/2021,14984.86035,15001.12988,14871.73047,14900.44043,14900.44043,4496220000
7/15/2021,14903.49023,14907.50977,14717.54981,14794.69043,14794.69043,4512550000
7/16/2021,14842.08008,14875.96973,14667.09961,14681.37988,14681.37988,4069530000
7/19/2021,14517.95996,14578.95996,14455.07031,14549.08984,14549.08984,4537130000
7/20/2021,14601.33984,14790.59961,14530.78027,14728.20996,14728.20996,4652450000
7/21/2021,14723.66992,14843.16992,14710.11035,14842.62988,14842.62988,4098520000
7/22/2021,14865.46973,14941.37988,14865.46973,14940.16992,14940.16992,3597540000
7/23/2021,15004.42969,15125.83984,14948.04004,15111.79004,15111.79004,3997250000
7/26/2021,15088.28027,15142.34961,15048.23047,15125.9502,15125.9502,4437090000
7/27/2021,15103.00977,15107.74023,14787.79981,14956.96973,14956.96973,4329230000
7/28/2021,15005.16992,15078.84961,14913.54981,15018.09961,15018.09961,4268210000
7/29/2021,15015.29981,15091.95996,15004.41992,15048.36035,15048.36035,3928640000
7/30/2021,14882.38965,14990.86035,14882.38965,14959.90039,14959.90039,3645050000
8/2/2021,15046.09961,15059.88965,14945.12988,14963.62012,14963.62012,3746130000
8/3/2021,14997.2002,15063.66016,14864.53027,15061.41992,15061.41992,4141370000
8/4/2021,15059.16016,15117.37988,15017.13965,15083.38965,15083.38965,4337330000
8/5/2021,15105.40039,15184.26953,15083.83984,15181.63965,15181.63965,4107300000
8/6/2021,15125.74023,15162.33984,15063.01953,15109.36035,15109.36035,4173090000
8/9/2021,15136.13965,15154.67969,15081.75,15133.11035,15133.11035,4111640000
8/10/2021,15157.37012,15169.4502,15010.16016,15053.58008,15053.58008,3991770000
8/11/2021,15101.82031,15127.78027,14972.59961,15027.75977,15027.75977,4002340000
8/12/2021,15012.59961,15097.91016,14956.25,15088.98047,15088.98047,4049000000
8/13/2021,15101.83984,15150.48047,15079.29981,15136.67969,15136.67969,4061070000
8/16/2021,15090.04981,15142.03027,14931.15039,15140.76953,15140.76953,3973920000
8/17/2021,15018.94043,15062.7002,14906.21973,15002.83008,15002.83008,4168880000
8/18/2021,14975.01953,15039.90039,14846.50977,14857.91992,14857.91992,3841840000
8/19/2021,14773.19043,15000.19043,14773.19043,14933.94043,14933.94043,4191490000
8/20/2021,14974.05957,15103.94043,14968.87012,15092.57031,15092.57031,3886340000
8/23/2021,15140.13965,15341.46973,15140.13965,15312.82031,15312.82031,3906780000
8/24/2021,15338.91992,15384.41992,15319.54981,15357.67969,15357.67969,3809750000
8/25/2021,15384.83008,15404.36035,15341.91992,15368.91992,15368.91992,3654150000
8/26/2021,15348.98047,15369.28027,15265.23047,15278.51953,15278.51953,3630900000
8/27/2021,15305.75,15447.03027,15292.74023,15432.9502,15432.9502,4048610000
8/30/2021,15460.92969,15620.62012,15459.74023,15605.08984,15605.08984,4061760000
8/31/2021,15601.33984,15604.4502,15522.78027,15582.50977,15582.50977,4188020000
9/1/2021,15637.12988,15696.41992,15603.66992,15611.57031,15611.57031,4271690000
9/2/2021,15656.28027,15681.75977,15554.29004,15604.25,15604.25,4050510000
9/3/2021,15578.95996,15668.12012,15554.96973,15652.86035,15652.86035,3706990000
9/7/2021,15662.29981,15701.40039,15610.23047,15675.75977,15675.75977,4014250000
9/8/2021,15669.00977,15669.00977,15528.4502,15620.84961,15620.84961,4131560000
9/9/2021,15639.44043,15675.45996,15556.74023,15561.04981,15561.04981,4031140000
